"";"created_at";"screen_name";"text"
"35";2019-09-03 07:08:01;"TataPathak";"Mengerikan detik-detik kecelakaan tol cipularang senin  2 sep 2019 klik https://t.co/FImgG7xG77
#KecelakaanCipularang 
#Kecelakaan 
#kecelakaanberuntun 
#KecelakaanMaut 
#kecelakaantolcipularang 
#keceriaanbulankebangsaan2019"
"36";2019-09-03 07:05:29;"havidzahadistya";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"37";2019-09-03 07:03:06;"bams_hartanto";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"38";2019-09-03 06:58:01;"Indronesiaaa";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"39";2019-09-03 06:57:18;"dixaxtey";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"40";2019-09-03 06:55:31;"agustinuuss";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"41";2019-09-03 06:54:48;"Milhaaam";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"42";2019-09-03 06:54:47;"lesmana_sofyan";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"43";2019-09-03 06:48:54;"lampostco";"Pesan Terakhir Sopir Truk Kecelakaan Maut di Cipularang #kecelakaan #tol #cipularang #kecelakaanmaut https://t.co/inramPQuJk"
"44";2019-09-03 03:15:09;"lampostco";"Turunan Cekung KM 91 Tol Cipularang Sulitkan Pengemudi #kecelakaan #lakalantas #jalantol #kecelakaanmaut https://t.co/hBHfaYAGgU"
"45";2019-09-03 04:23:23;"lampostco";"Polisi Mulai Olah TKP Lokasi Kecelakaan Maut Tol Cipularang #kecelakaan #lakalantas #jalantol #kecelakaanmaut https://t.co/ehgesJSL69"
"46";2019-09-03 05:13:56;"lampostco";"Terungkap Penyebab Kecelakaan Maut Tol Cipularang #nasional #kecelakaan #Tol #Cipularang https://t.co/sAH1BKnaqN"
"47";2019-09-03 06:46:28;"TataIskandar6";"#kecelakaan
https://t.co/n7d5q2W3qD

Kecelakaan maut di tol cipularang..kecelakaan beruntun..super ngeri..

Jangan lupa di subscribe ya teman-teman..untuk video selanjutnya..makasih.."
"48";2019-09-03 06:45:07;"desmaykalalo";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"49";2019-09-03 06:44:50;"indozonemedia";"Turunan dan cekungan di kilometer 91 Tol Cipularang menjadi faktor yang menyulitkan pengendara. #KAMUHARUSTAU #tol #cipularang #kecelakaan 

https://t.co/3dsqeAEYx4"
"50";2019-09-03 03:27:33;"indozonemedia";"Kevin saat itu tengah bersama temannya, Jare Black yang di belakang kemudi. #KAMUHARUSTAU #KevinHart #carcrash #kecelakaan 

https://t.co/YAfFFqnuUD"
"51";2019-09-03 06:42:13;"indonesiazone11";"Info !
Terjadi kecelakaan dan kemacetan di KM 90 bandung Jakarta

#jakarta #bandung #kecelakaan #TolCipularang https://t.co/7eSodraY0g"
"52";2019-09-03 06:38:59;"detikhot";"""Kondisi mobil saat ini nggak bisa dipakai lagi sih dan kemaren saya bilang sama orang bengkel terserah mau dibayarin berapa,"" kata Ihsan. #IhsanTarore #Kecelakaan https://t.co/oRT8I1RiO0"
"53";2019-09-03 06:37:52;"Gadalawan";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"54";2019-09-03 06:35:17;"arasti5";"Menhub Kirim Tim Untuk Analis Kecelakaan Maut di Tol Cipularang #Kecelakaan #tol #cipularang https://t.co/JjVil1YfFK"
"55";2019-09-02 11:50:29;"arasti5";"Jasa Marga Lakukan Evakuasi Korban dan Pengaturan Lalin di Tol Purbaleunyi Arah Jakarta #Jasamarga #tol #purbaleunyi #kecelakaan https://t.co/fWR9PnGPsb"
"56";2019-09-03 05:49:11;"arasti5";"Tol Cipularang Diberlakukan Contraflow Selama Olah TKP Kecelaan Maut #Kecelakaan #tol #cipularang https://t.co/DpoyPg1Y2Z"
"57";2019-09-03 06:34:25;"e100ss";"13.34: Update #kecelakaan di Tol KM 8 Tandes arah Gresik. AKP Amar Hadi Kanit PJR Jatim 2 mengabarkan, kendaraan yang terlibat sudah dievakuasi. Lalu lintas masih padat, diimbau untuk kendaraan pribadi bisa lewat jalur bawah. (odp-pr)"
"58";2019-09-03 02:09:17;"e100ss";"09.09: Info awal #kecelakaan di KM 673.800 Tol Surabaya arah Madiun. Mobil terguling di median tengah jalan. Info sudah diteruskan ke petugas. (odp-pr)"
"59";2019-09-03 04:20:38;"e100ss";"11.20: Info awal #kecelakaan di Tol KM 5.200 Tol Dupak arah Tandes. Kecelakaan melibatkan 3 mobil. Posisi kendaraan ada di lajur kiri. (odp-pr)"
"60";2019-09-03 05:53:26;"e100ss";"12.53 Info awal #kecelakaan di Tol Tandes arah Gresik. AKP Amar Hadi Kanit PJR Jatim 2 mengabarkan, ada Truk Hino diduga rem blong, kemudian menabrak Truk Trailer. Saat ini sedang proses evakuasi. Lalu lintas Macet (odp-pr)"
"61";2019-09-03 06:27:18;"Epoynono";"Innalilahi.. Detik-Detik Sebelum Kecelakaan Beruntun di Cipularang Senin 2/9/19
#Cipularang #kecelakaan #otomotiv https://t.co/rCYXMj8j4E"
"62";2019-09-02 23:12:35;"tribunkaltim";"https://t.co/9iDf0GglLF
#TolCipularang  #KecelakaanCipularang  #kecelakaanberuntun  #Kecelakaan  #KecelakaanMaut #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"63";2019-09-03 02:51:38;"tribunkaltim";"https://t.co/cjcLQwjS3S
#Cipularang  #TolCipularang  #KecelakaanCipularang  #Kecelakaan  #kecelakaanberuntun  #KecelakaanMaut #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"64";2019-09-03 03:51:14;"tribunkaltim";"https://t.co/YvTTjwbBtx
#Cipularang  #TolCipularang  #KecelakaanCipularang  #Kecelakaan  #kecelakaanberuntun  #KecelakaanMaut #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"65";2019-09-03 06:26:23;"tribunkaltim";"https://t.co/HXzporTnOC
#kecelakaanberuntun  #KecelakaanCipularang  #Kecelakaan  #Kecelakaan #Cipularang #TolCipularang #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"66";2019-09-02 22:11:21;"tribunkaltim";"https://t.co/0f0dJW1T6N
#TolCipularang  #Cipularang  #KecelakaanCipularang  #Kecelakaan  #kecelakaanberuntun  #KecelakaanMaut #Jabar #JawaBarat #HyperLocal #LocalToViral #Balikpapan #Kaltim #Samarinda #KalimantanTimur #tribunkaltim"
"67";2019-09-03 06:25:26;"matchlamilk";"Video Detik-detik tabrakan beruntun terjadi di KM 91 +400 Tol Cipularang dari arah Bandung ke Jakarta.

#jurnalwarga #infowarga #Kecelakaan #cipularang #purbaleunyi #purwakarta #bandung #jakarta https://t.co/Oj96emrTaj"
"68";2019-09-03 06:25:13;"bangkaposdotcom";"#TolCipularang 
#KecelakaanCipularang 
#kecelakaanberuntun 
#KecelakaanMaut 
#Kecelakaan 
#BeritaTerkini 
#viralindonesia 
#viralnews 
https://t.co/DlO4gvVUb3"
"69";2019-09-03 06:23:58;"Dinarestya09";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"70";2019-09-03 06:19:55;"Araa125";"#bacotsantuy 
#Harinya4G 
#KomikKita 
#Kecelakaan 
#selasaberkebaya 
#Twitterversary 
#recehkantwiter 

<U+0001F92A><U+0001F92A><U+0001F92A>
definisi obat adalah suatu zat yang di maksudkan untuk dipakai di dalam diagnosis, mengurangi rasa sakit, mengobati atau mencegah penyakit pada mnsia/hwn:' 
 bcd :) https://t.co/NHcSO5IWwB"
"71";2019-09-03 06:15:24;"awnadd";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"72";2019-09-03 06:13:55;"angelikha_iiz";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"73";2019-09-03 06:12:08;"WongIndonesiaOK";"12.53 Info awal #kecelakaan di Tol Tandes arah Gresik. AKP Amar Hadi Kanit PJR Jatim 2 mengabarkan, ada Truk Hino diduga rem blong, kemudian menabrak Truk Trailer. Saat ini sedang proses evakuasi. Lalu lintas Macet (odp-pr)"
"74";2019-09-03 05:10:01;"WongIndonesiaOK";"11.20: Info awal #kecelakaan di Tol KM 5.200 Tol Dupak arah Tandes. Kecelakaan melibatkan 3 mobil. Posisi kendaraan ada di lajur kiri. (odp-pr)"
"75";2019-09-03 06:11:28;"cumasegelasair";"Tabrakan beruntun yang menewaskan delapan orang di Tol Cipularang, Senin (2/9), diawali dengan tergulingnya truk di KM 91. #Kecelakaan #LakaBeruntun #Cipularang #SeputariNewsMalam #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/mr2qDQQHjE"
"76";2019-09-03 06:10:16;"chanucheek";"Sekitar 10 kendaraan roda empat dan truk mengalami kecelakaan beruntun di tol Cipularang Km 91, Purwakarta, Jawa Barat.

Sebanyak 6 orang dilaporkan meninggal dunia dan 8 lainnya terluka.

#Kecelakaan #Cipularang #Bandung #JawaBarat #Purwakarta #BreakingiNews https://t.co/nDsy3xFfPe"
"77";2019-09-03 01:22:02;"SeputariNews";"Tabrakan beruntun yang menewaskan delapan orang di Tol Cipularang, Senin (2/9), diawali dengan tergulingnya truk di KM 91. #Kecelakaan #LakaBeruntun #Cipularang #SeputariNewsMalam #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/mr2qDQQHjE"
"78";2019-09-03 05:50:00;"SeputariNews";"Polisi Ungkap Kecelakaan Maut Tol Cipularang Akibat Dump Truck Terguling

#Kecelakaan #LakaBeruntun #Cipularang #SeputariNewsMalam #SeputariNewsRCTI 

https://t.co/kqGhoeiTqh"
"79";2019-09-03 06:00:00;"SeputariNews";"Korban Selamat Kecelakaan Maut Tol Cipularang Alami Patah Tulang

#Kecelakaan #LakaBeruntun #Cipularang #SeputariNewsMalam #SeputariNewsRCTI 

https://t.co/8A4qoreQh0"
"80";2019-09-03 05:17:00;"SeputariNews";"Sebanyak empat dari delapan korban meninggal dalam kecelakaan di KM 91 Tol Cipularang berhasil diidentifikasi. #Kecelakaan #LakaBeruntun #Cipularang #Purwakarta #SeputariNewsPagi #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyRxlj https://t.co/h19yGzrMep"
"81";2019-09-03 02:03:00;"SeputariNews";"Sebagian korban selamat laka beruntun di KM 91 Tol Cipularang mengalami patah tulang dan memar akibat benturan. #Kecelakaan #LakaBeruntun #Cipularang #Purwakarta #SeputariNewsMalam #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/ufhfJYOZHG"
"82";2019-09-03 02:36:24;"SeputariNews";"Berikut identitas empat korban tewas yang teridentifikasi serta 24 korban luka di RS MH Thamrin, Purwakarta. #Kecelakaan #LakaBeruntun #Cipularang #Purwakarta #SeputariNewsMalam #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/4pbgxWlnxB"
"83";2019-09-03 05:03:00;"SeputariNews";"Kecelakaan di Tol Cipularang, Purwakarta, Jawa Barat, Senin (2/9) siang,  4 kendaraan terbakar, 8 orang meninggal, dan 28 lainnya terluka.  #Kecelakaan #Cipularang #SeputariNewsPagi #SeputariNewsRCTI

Saksikan selengkapnya di kanal YouTube Seputar iNews!
https://t.co/p7pbvyzVWJ https://t.co/n7iG7Lrjld"
"84";2019-09-03 05:24:05;"SeputariNews";"Pascakecelakaan Maut, Tol Cipularang Arah Jakarta Sudah Dibuka Kembali

#Kecelakaan #LakaBeruntun #Cipularang #Purwakarta #SeputariNewsMalam #SeputariNewsRCTI

https://t.co/ACaPR1BLxN"
"85";2019-09-03 03:02:41;"SeputariNews";"LIVE NOW! Kecelakaan Maut Tol Cipularang - Breaking iNews (3/9)

Silakan tonton di Youtube
https://t.co/LJsBwP0vqf

#iNews #Breaking #Kecelakaan #Cipularang https://t.co/TI3pbROvk2"
